4232;AA001DC;I trained harder than anyone else. So I'll be fine no doubt.
1683;AA001FB;*Scream*
1630;AA001EC;*Scream*
1473;AA002DC;I'm better than anyone else.
1014;AA001V;Keep an eye out.
1286;AA001BE;Show them our strength.
822;AA002FB;No!
1472;AA001EA;*Scream*
1927;AA002EE;*Scream*
2673;AA002BB;This is why I became a solider. Leave it to me.
1299;AA001BC;Show them our strength.
1607;AA001ED;*Scream*
1580;AA002DD;I'm better than anyone else.
1601;AA002FA;No!
904;AA001Z;Keep an eye out!
1388;AA001EB;*Scream*
3697;AA001DD;I trained harder than anyone else. So I'll be fine no doubt.
1552;AA002EA;*Scream*
1730;AA001W;We have to know the situation first.
1943;AA002ED;*Scream*
2736;AA002BC;This is why I became a solider. Leave it to me.
1811;AA001FC;*Scream*
1155;AA001BA;Show them our strength.
1396;AA002DB;I'm better than anyone else.
1661;AA002CB;Show them what a diver's got.
1786;AA001EE;*Scream*
651;AA001AC;Keep watch.
2649;AA001ZA;Cowardice is shameful. Fly bravely.
2562;AA001CB;Immortality is ours my Wing Divers.
2511;AA002BD;This is why I became a solider. Leave it to me.
2585;AA002BE;This is why I became a solider. Leave it to me.
609;AA002AB;Stay alert.
1574;AA002CA;Show them what a diver's got.
1953;AA002EC;*Scream*
2653;AA002BA;This is why I became a solider. Leave it to me.
1143;AA001X;What's that about?
1501;AA001FD;*Scream*
594;AA001AB;Keep watch.
664;AA002AC;Stay alert.
1249;AA001BB;Show them our strength.
3256;AA001DA;I trained harder than anyone else. So I'll be fine no doubt.
1507;AA001FA;*Scream*
1449;AA002DA;I'm better than anyone else.
880;AA002AA;Stay alert.
853;AA001AA;Keep watch.
811;AA001Y;Am I dreaming?
1380;AA001BD;Show them our strength.
3797;AA001DB;I trained harder than anyone else. So I'll be fine no doubt.
2956;AA001CA;Immortality is ours my Wing Divers.
1076;AA002EB;*Scream*
2515;AE121_041;This is G2. We're being attacked by the cannons.
2820;AE122_009;And they're fast too! These things are tricky.
993;AE121_061;Fall back!
1185;AE121_040;They're firing!
4832;AE122_004;Don't underestimate the drones. The fact they're only machines makes them even more terrifying weapons.
1669;AE121_043;Beware of those large cannons.
1748;AE122_001;Red colour drones confirmed.
3036;AE121_048;Incoming fire! Get to cover before its too late.
1889;AE121_030;Our attack on the base was ineffective.
5779;AE121_068;If we don't shoot down all of the drones they will cause a lot of damage. Shoot down all drones.
5910;AE121_065;Oh no. If we let those drones chase us the city will suffer heavy casualties.
2531;AE121_056;Run! It's too dangerous here.
1873;AE121_036;I knew it wouldn't be a cakewalk.
2795;AE121_038;I know! But we can't continue the mission anymore.
1306;AE121_050;The drones are coming.
1431;AE121_060;Retreat! Hurry!
2312;AE121_031;The airstrike didn't seem to work either
2859;AE122_008;Crap. It's got too much firepower.
6360;AE121_033;I can't believe they can deploy entire bases. Those aliens certainly came prepared.
2498;AE121_053;The giant cannons are activating.
4496;AE122_003;I shot down 7 drones by myself. I'm going to break my record today.
